Topic,Word,Score
0,room,0.027250733244603614
0,hotel,0.025008187549634697
0,stay,0.018971440436122727
0,staff,0.01572108041368173
0,not,0.015121199450358983
0,night,0.014359470992198906
0,location,0.014035130130754267
0,good,0.013956650331255068
0,great,0.013292480180242662
0,bed,0.012700008592466965
1,resort,0.02572429511305464
1,beach,0.02261252284222296
1,food,0.017386558242539707
1,not,0.01653611918012762
1,pool,0.014856337592546934
1,time,0.014616505794677699
1,good,0.014444866825829992
1,day,0.014251413542540536
1,people,0.0139408209978732
1,go,0.013426744526580986
2,barcelona,0.04471621147971811
2,hotel,0.0292175010774412
2,rambla,0.024833887160784367
2,room,0.019160747746843274
2,location,0.01672180938221155
2,metro,0.016663085948528188
2,stay,0.01522531495265607
2,good,0.014377534810519564
2,great,0.014318733415768108
2,walk,0.014248866632563636
3,florence,0.05138649369432575
3,hotel,0.029919688891795273
3,stay,0.02069833581474333
3,room,0.019280735147819313
3,breakfast,0.018222015259645293
3,location,0.0171213103841643
3,venice,0.017112327608857607
3,duomo,0.01629653530093271
3,walk,0.01570157677350738
3,italy,0.015023353993981988
4,amsterdam,0.06164385101809849
4,hotel,0.028333724193168208
4,room,0.023104726241496894
4,stay,0.01997370821127555
4,tram,0.0168644324943499
4,location,0.01679378092179643
4,canal,0.01670143032867677
4,breakfast,0.015391000871015918
4,walk,0.013950755017529138
4,staff,0.01391467219818531
5,paris,0.06389767247560155
5,hotel,0.02931260020952254
5,metro,0.024767215083390113
5,room,0.020799431687847304
5,stay,0.018730126437376034
5,eiffel,0.01770725111308778
5,location,0.017270789061500477
5,staff,0.01721777388168104
5,small,0.015487124424930035
5,great,0.014447317732350482
6,juan,0.04304758793581481
6,san,0.037241782557161526
6,beach,0.019503965642331294
6,puerto,0.018659024234784105
6,hotel,0.018611432754323056
6,old,0.018562943304648662
6,rico,0.016831495297676753
6,pool,0.01627770020072768
6,stay,0.014997418076469236
6,nice,0.01447005974183721
7,francisco,0.04077503769587812
7,san,0.036188932239560316
7,union,0.026439412212679654
7,hotel,0.022853422108117877
7,sf,0.0221089313121638
7,car,0.0216181062993609
7,stay,0.019756385996061505
7,cable,0.019285639526113403
7,room,0.0192100658777259
7,square,0.018900859583468935
8,seattle,0.05953664983971416
8,downtown,0.024943382935284183
8,hotel,0.022071124258132353
8,room,0.02041439422697483
8,stay,0.020266991323812798
8,pike,0.016679536682504985
8,great,0.01499786291007096
8,needle,0.014362715696180068
8,parking,0.013952474599623423
8,nice,0.013468093256179786
9,waikiki,0.051991833111296494
9,beach,0.02198298488451083
9,hotel,0.02004178265731372
9,room,0.019479573424573866
9,hawaii,0.019109085984104157
9,view,0.0189268059962931
9,stay,0.01671023872676179
9,ocean,0.01570839175204783
9,honolulu,0.014560128719970956
9,great,0.013251960712601953
10,york,0.03231780381049507
10,nyc,0.026510715697127766
10,hotel,0.02532621988193951
10,new,0.02383008168598277
10,square,0.023317853497025542
10,room,0.02314351689821695
10,stay,0.01932628110362839
10,great,0.017412122128778757
10,view,0.017171563099611993
10,location,0.017093801956991964
11,sydney,0.06693196331370534
11,harbour,0.033481425120567135
11,darling,0.023785871812069242
11,room,0.02115236672492074
11,hotel,0.020114020233660688
11,stay,0.01881014937559013
11,location,0.018493664064272164
11,view,0.01556294298886906
11,quay,0.015459552327390824
11,great,0.014983596214705974
12,bali,0.0549907672402051
12,pool,0.021313972849235946
12,villa,0.019968049740251913
12,ubud,0.019841355980065242
12,hotel,0.016688755259359703
12,kuta,0.0160644728424683
12,stay,0.015614139626244661
12,beach,0.015562043155127481
12,nusa,0.014166944376485285
12,dua,0.0139647750042185
13,orleans,0.05592846343112853
13,quarter,0.040561201907430025
13,new,0.035222439840928293
13,french,0.02968807941508918
13,bourbon,0.02225044254832851
13,stay,0.02141036668378967
13,room,0.020640264736609574
13,hotel,0.020605221026043986
13,st,0.01862566377580534
13,street,0.017551537600617298
14,berlin,0.07463025415901331
14,hotel,0.02821256488442336
14,bahn,0.02796631802782662
14,breakfast,0.019516565538269796
14,room,0.019347495537783164
14,station,0.01837615384945079
14,location,0.017679104633385217
14,stay,0.01643314550228323
14,good,0.015857852397616397
14,great,0.015089471442051035
15,hong,0.058027799501567175
15,kong,0.05793300968848824
15,hk,0.03140392997049596
15,harbour,0.026805704229829422
15,hotel,0.025539786582645052
15,view,0.024176846152521
15,kowloon,0.023443698057051883
15,mtr,0.02086929729095853
15,room,0.020129069669188086
15,stay,0.017415210401767908
16,london,0.08793667355749483
16,hotel,0.027494625414284806
16,tube,0.026221874708330248
16,room,0.020493688888956977
16,stay,0.019785928002584774
16,breakfast,0.019557091967740213
16,bridge,0.018979914650960463
16,good,0.01531512450041044
16,staff,0.015033121909140317
16,station,0.014957540541064615
17,boston,0.07901294161825766
17,hotel,0.024382020589370838
17,room,0.02046545416216797
17,stay,0.019143479832964046
17,great,0.016765818705979114
17,location,0.016036043928883796
17,night,0.012463671650437762
17,nice,0.01231469201669612
17,not,0.01219183670223235
17,copley,0.011956957899504829
18,singapore,0.07609709944960692
18,hotel,0.02730113558287327
18,room,0.022067431907843944
18,raffle,0.01988977460334056
18,stay,0.019389802828402695
18,mrt,0.015271447682024377
18,good,0.014569518969519411
18,breakfast,0.01453984307624909
18,oriental,0.014164668310807356
18,night,0.01391410485743398
19,tokyo,0.08089639961783478
19,shinjuku,0.030536042847544364
19,hotel,0.02873972751726174
19,station,0.028221572678401415
19,japanese,0.02442962665943473
19,japan,0.023646227733851957
19,ginza,0.023097496289590687
19,room,0.020353698211716488
19,train,0.018399653633551935
19,stay,0.015702116256893082
20,madrid,0.08945035536279987
20,hotel,0.02582463412390648
20,room,0.022809712629551726
20,plaza,0.021113802479842014
20,location,0.02083810788512994
20,sol,0.01831686062334173
20,good,0.01780048469323196
20,great,0.016577270827457163
20,stay,0.01585908621354714
20,mayor,0.015618048179534268
21,beijing,0.06842544211454217
21,hotel,0.02739836929298003
21,china,0.025828224019670314
21,chinese,0.024311340476594518
21,taxi,0.018176086010479812
21,forbid,0.01811365775383073
21,good,0.01789904957254751
21,room,0.01759483110710422
21,stay,0.01600183177980645
21,city,0.01582979311789842
22,riu,0.06522534074981688
22,bambu,0.03118607317456802
22,palace,0.027847958229981047
22,beach,0.023164976038586242
22,resort,0.016356600541762554
22,food,0.015753008393459642
22,pool,0.015504561850220522
22,not,0.015201512226694497
22,day,0.014625880858533283
22,people,0.013703524055999155
23,miami,0.07046744208944188
23,beach,0.027863968639460352
23,hotel,0.026472411196941596
23,south,0.024548216270155822
23,room,0.018491145718069587
23,stay,0.018290910183073508
23,pool,0.01815177917621516
23,shuttle,0.016464402051772863
23,service,0.016095476809634655
23,cruise,0.015044122950487493
24,majestic,0.07261812171178489
24,colonial,0.030703834976677065
24,resort,0.020329356085662362
24,beach,0.020068004140143057
24,food,0.0170799350642752
24,pool,0.01590776175036976
24,not,0.014502263698069588
24,good,0.014145586492678384
24,time,0.013030467291116338
24,room,0.01298886575889765
25,toronto,0.0690481285322951
25,suite,0.028265255558132304
25,cambridge,0.022384270670115284
25,hotel,0.02184186759014113
25,stay,0.021136937190238958
25,eaton,0.01975503005121332
25,great,0.019744252533354094
25,room,0.01862825278669471
25,subway,0.014178917001967845
25,centre,0.014144986983025297
26,sofitel,0.15488249035302118
26,york,0.03113834566188442
26,room,0.024870867277957762
26,stay,0.02428082179572495
26,hotel,0.024253395042844877
26,nyc,0.022791505524304614
26,new,0.02176737361159385
26,service,0.018266054175848378
26,location,0.017071769178345367
26,great,0.016873576244189916
27,melia,0.05006307395408462
27,caribe,0.03052053580987504
27,resort,0.023707616690260398
27,beach,0.0216009417375263
27,tropical,0.021052765581040175
27,pool,0.016768618961794466
27,food,0.01547821599122291
27,time,0.015433259085806719
27,day,0.015081813592543514
27,not,0.014561756673506716
28,frankfurt,0.09588828087625513
28,hotel,0.029916268787858108
28,airport,0.01894805451149129
28,room,0.01795102535777402
28,station,0.01743881012913909
28,train,0.017191939418376323
28,good,0.015692636490922045
28,breakfast,0.015458785849520281
28,stay,0.0152946752437754
28,city,0.014745572250774238
29,argonaut,0.10596035969023128
29,wharf,0.04130382564671728
29,fisherman,0.03268416713014045
29,alcatraz,0.03227142882155816
29,car,0.02739531143580592
29,cable,0.02512099185526357
29,nautical,0.02240865660581322
29,francisco,0.02048918548225956
29,san,0.020440810762514326
29,view,0.01937943219030708
30,affinia,0.11457138800510837
30,dumont,0.060552650954326194
30,50,0.039820435336196336
30,nyc,0.025628165633771863
30,york,0.024483530139257904
30,stay,0.023613270594623877
30,great,0.023469647174263763
30,room,0.020582286713686983
30,hotel,0.020384797266126412
30,kitchen,0.018882707451257502
31,hollywood,0.08748754543694527
31,beverly,0.029918437689394683
31,renaissance,0.02685912939183883
31,hotel,0.024494370008372263
31,elan,0.0204893829076854
31,stay,0.02008865346211913
31,great,0.018438733185085786
31,room,0.017256805816029397
31,area,0.016749805925902778
31,drive,0.01512555214717155
32,westin,0.11392807274805931
32,square,0.029726253092314404
32,times,0.027495310868815924
32,heavenly,0.027323513830774367
32,york,0.023722886211497134
32,room,0.02360618936368034
32,bed,0.021405880514593717
32,new,0.02023951305971443
32,stay,0.019882950835477267
32,hotel,0.019329462569769442
33,mexico,0.08341873218960968
33,city,0.04993437210613831
33,hotel,0.024871476313549492
33,zona,0.023056104200450695
33,reforma,0.023056104200450695
33,zocalo,0.02201902991279592
33,rosa,0.01977123265400725
33,polanco,0.018977631554441196
33,stay,0.01774779626636788
33,good,0.017308617620747157
34,casablanca,0.1375618670623626
34,wine,0.03697381353529624
34,rick,0.03687791821733006
34,york,0.03683605276263197
34,cheese,0.03612281576124712
34,square,0.032624871132436346
34,hotel,0.025258480613034182
34,new,0.024834494388624104
34,stay,0.02261369457184044
34,staff,0.021254870144487008
35,paradisus,0.06592947203700651
35,resort,0.0284828403850661
35,beach,0.020600973400854435
35,service,0.019618705099895384
35,royal,0.019382777145263905
35,food,0.018016927695957266
35,pool,0.017343552162105723
35,time,0.017205499770740443
35,restaurant,0.015647700568239976
35,day,0.015173091548097652
